"file","function","score","rank"
symboldatabase.cpp,_ZL13getTypeStringPK5Token,0.2,54
symboldatabase.cpp,_ZZNK5Scope12findFunctionEPK5TokenbENKUlPKS_E_clES4_,0.2,54
symboldatabase.cpp,_ZZNK5Scope12findFunctionEPK5TokenbENKUlS2_E0_clES2_,0.2,54
symboldatabase.cpp,_ZNK14SymbolDatabase12findFunctionEPK5Token,0.2,54
tokenize.cpp,_ZN9Tokenizer14isFunctionHeadEPK5TokenRKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEb,0.16666666666666666,67
tokenlist.cpp,_ZL15compileLogicAndRP5TokenR9AST_state,0.16666666666666666,67
valueflow.cpp,_ZL19valueFlowRightShiftP9TokenListPK8Settings,0.16666666666666666,67
astutils.cpp,_ZL23getLHSVariableRecursivePK5Token,0.16666666666666666,67
astutils.cpp,_ZZ12isGlobalDataPK5TokenbENKUlS1_E_clES1_,0.16666666666666666,67
symboldatabase.cpp,_ZN4Type12initBaseInfoEPK5TokenS2_,0.16666666666666666,67
valueflow.cpp,_ZL18valueFlowAfterMoveP9TokenListP14SymbolDatabasePK8Settings,0.16666666666666666,67
tokenize.cpp,_ZL15matchMemberNameRKNSt7__debug4listINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS6_EEEPK5TokenPSB_RKNS0_I10ScopeInfo2SaISF_EEE,0.16666666666666666,67
tokenize.cpp,_ZL15matchMemberNameRKN12_GLOBAL__N_16MemberERKNSt7__debug4listI10ScopeInfo2SaIS5_EEE,0.16666666666666666,67
symboldatabase.cpp,_ZNK5Scope21isVariableDeclarationEPK5TokenRS2_S3_,0.16666666666666666,67
valueflow.cpp,_Z14inferConditionNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEExPK5Token,0.16666666666666666,67
tokenize.cpp,_ZN9Tokenizer25removeMacrosInGlobalScopeEv,0.16666666666666666,67
tokenize.cpp,_ZN9Tokenizer12removePragmaEv,0.16666666666666666,67
templatesimplifier.cpp,_ZNK12_GLOBAL__N_19FindTokenclERKN18TemplateSimplifier12TokenAndNameE,0.14285714285714285,82
forwardanalyzer.cpp,_ZN16ForwardTraversal19traverseConditionalI5TokenSt8functionIFNS_8ProgressEPS1_EEvEES3_PT_T0_b,0.14285714285714285,82
symboldatabase.cpp,_ZN14SymbolDatabase29createSymbolDatabaseClassInfoEv,0.14285714285714285,82
astutils.cpp,_Z16isSameExpressionbbPK5TokenS1_RK7LibrarybbPNSt7__debug4listISt4pairIS1_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEESaISE_EEE,0.14285714285714285,82
symboldatabase.cpp,_ZNK14SymbolDatabase10isFunctionEPK5TokenPK5ScopePS2_S6_S6_,0.14285714285714285,82
symboldatabase.cpp,_ZN8Variable12setValueTypeERK9ValueType,0.14285714285714285,82
symboldatabase.cpp,_ZN8FunctionC2EPK9TokenizerPK5TokenPK5ScopeS5_S5_,0.14285714285714285,82
templatesimplifier.cpp,_ZN18TemplateSimplifier25getPartialSpecializationsEv,0.14285714285714285,82
tokenize.cpp,_ZL24setVarIdParseDeclarationPPK5TokenRKNSt7__debug3mapINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEiSt4lessISA_ESaISt4pairIKSA_iEEEEbbb,0.14285714285714285,82
tokenize.cpp,_ZN9Tokenizer31splitTemplateRightAngleBracketsEb,0.14285714285714285,82
symboldatabase.cpp,_ZN14SymbolDatabase12setValueTypeEP5TokenRK9ValueType,0.14285714285714285,82
symboldatabase.cpp,_ZL19getOperatorFunctionPK5Token,0.14285714285714285,82
symboldatabase.cpp,_ZN9ValueType14matchParameterEPKS_PK8VariableS4_,0.14285714285714285,82
tokenize.cpp,_ZN9Tokenizer15simplifyKeywordEv,0.14285714285714285,82
tokenize.cpp,_ZN9Tokenizer22simplifyQtSignalsSlotsEv,0.14285714285714285,82
templatesimplifier.cpp,_ZN12_GLOBAL__N_19FindTokenC2EPK5Token,0.125,102
templatesimplifier.cpp,_ZN18TemplateSimplifier12TokenAndNameC2EP5TokenRKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEPKS1_SC_,0.125,102
forwardanalyzer.cpp,_ZN16ForwardTraversal10updateLoopEPK5TokenPS0_S3_S3_S3_b,0.125,102
programmemory.cpp,_Z7executePK5TokenP13ProgramMemoryPxPbRKSt8functionIFbS1_S3_S4_EE,0.125,102
astutils.cpp,_Z17exprDependsOnThisPK5Tokeni,0.125,102
valueflow.cpp,_ZZL13setTokenValueP5TokenN9ValueFlow5ValueEPK8SettingsENKUlPKS_E_clES7_,0.125,102
symboldatabase.cpp,_ZN14SymbolDatabase38createSymbolDatabaseNeedInitializationEv,0.125,102
symboldatabase.cpp,_ZN14SymbolDatabase8fixVarIdERNSt7__debug3mapIjNS1_IjjSt4lessIjESaISt4pairIKjjEEEES3_SaIS4_IS5_S8_EEEEPK5TokenPSD_PK8Variable,0.125,102
valueflow.cpp,_ZL15getOtherOperandPK5Token,0.125,102
symboldatabase.cpp,_ZN8Variable8evaluateEPK8Settings,0.125,102
symboldatabase.cpp,_ZL10typesMatchPK5ScopePK5TokenS1_S4_PS4_S5_,0.125,102
